if, TOKEN_IF
else, TOKEN_ELSE
while, TOKEN_WHILE
for, TOKEN_FOR
break, TOKEN_BRK
continue, TOKEN_CONT
return, TOKEN_RETURN
fn, TOKEN_FN
import, TOKEN_IMPORT
int, TOKEN_INT
float, TOKEN_FLOAT
char, TOKEN_CHAR
string, TOKEN_STRING
bool, TOKEN_BOOL
true, TOKEN_TRUE
false, TOKEN_FALSE
array, TOKEN_ARR
struct, TOKEN_STRUCT
dict, TOKEN_DICT
const, TOKEN_CONST
unknown, TOKEN_UNKWN
tick, TOKEN_TICK
render, TOKEN_RENDER
entity, TOKEN_ENTITY
component, TOKEN_COMP
spawn, TOKEN_SPWN
despawn, TOKEN_DESPWN
query, TOKEN_QUERY
state, TOKEN_STATE
pause, TOKEN_PAUSE
resume, TOKEN_RESUME
del, TOKEN_DEL
sdel, TOKEN_SDEL
flex, TOKEN_FLEX
shrtmem, TOKEN_SHRTMEM
hot, TOKEN_HOT
cold, TOKEN_COLD
inline, TOKEN_INLINE
parallel, TOKEN_PRLL
simulate, TOKEN_SIMUL
vector, TOKEN_VECT
matrix, TOKEN_MATRIX
delta, TOKEN_DELTA
scaleg, TOKEN_SCALEG
rndm, TOKEN_RNDM
ray, TOKEN_RAY
err, TOKEN_ERR
clone, TOKEN_CLONE
sync, TOKEN_SYNC
atomic, TOKEN_ATOMIC
vec2, TOKEN_VEC2
vec3, TOKEN_VEC3
vec4, TOKEN_VEC4
mat3, TOKEN_MAT3
mat4, TOKEN_MAT4
switch, TOKEN_SWITCH
case, TOKEN_CASE
default, TOKEN_DEFAULT
